|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      23 |        9950 |       17:36:08 |         0.54 |         0.52 |       0.1472 |       0.1362 |      1.0000e-04 |
|      23 |       10000 |       17:41:24 |         0.53 |         0.52 |       0.1428 |       0.1374 |      1.0000e-04 |
|      24 |       10050 |       17:46:41 |         0.50 |         0.53 |       0.1237 |       0.1379 |      1.0000e-04 |
|      24 |       10100 |       17:51:58 |         0.51 |         0.52 |       0.1289 |       0.1339 |      1.0000e-04 |
|      24 |       10150 |       17:57:16 |         0.51 |         0.52 |       0.1298 |       0.1377 |      1.0000e-04 |
|      24 |       10200 |       18:02:32 |         0.45 |         0.51 |       0.0999 |       0.1326 |      1.0000e-04 |
|      24 |       10250 |       18:07:50 |         0.53 |         0.52 |       0.1425 |       0.1346 |      1.0000e-04 |
|      24 |       10300 |       18:13:09 |         0.47 |         0.52 |       0.1124 |       0.1335 |      1.0000e-04 |
|      24 |       10350 |       18:18:26 |         0.52 |         0.52 |       0.1332 |       0.1370 |      1.0000e-04 |
|      24 |       10400 |       18:23:45 |         0.48 |         0.53 |       0.1165 |       0.1401 |      1.0000e-04 |
|      25 |       10450 |       18:29:04 |         0.46 |         0.52 |       0.1050 |       0.1330 |      1.0000e-04 |
|      25 |       10500 |       18:34:22 |         0.50 |         0.51 |       0.1226 |       0.1310 |      1.0000e-04 |
|      25 |       10550 |       18:39:39 |         0.48 |         0.51 |       0.1153 |       0.1313 |      1.0000e-04 |
|      25 |       10600 |       18:45:04 |         0.49 |         0.52 |       0.1220 |       0.1340 |      1.0000e-04 |
|      25 |       10650 |       18:50:26 |         0.48 |         0.51 |       0.1132 |       0.1320 |      1.0000e-04 |
|      25 |       10700 |       18:55:52 |         0.46 |         0.52 |       0.1068 |       0.1334 |      1.0000e-04 |
